Município/Estado,Arroz (2021),Arroz (2022),Arroz (2023),Soja (2021),Soja (2022),Soja (2023),Trigo (2021),Trigo (2022),Trigo (2023)
Nova Esperança do Sudoeste,1,1,1,1.950,2.450,2.900,600,1.200,1.190
Nova Fátima,5,5,4,16.220,15.990,15.990,10.600,10.600,5.740
Nova Laranjeiras,8,8,10,10.900,10.900,17.000,2.800,2.800,4.600
Nova Londrina,-,-,-,250,443,443,-,-,-
Nova Olímpia,-,-,-,220,70,70,-,-,-
Nova Prata do Iguaçu,1,1,1,16.300,16.550,17.450,9.000,9.000,12.000
Nova Santa Bárbara,1,1,1,4.570,4.620,4.620,3.920,3.920,4.420
Nova Santa Rosa,-,-,-,13.420,10.820,13.400,200,100,100
Nova Tebas,1,1,5,10.400,12.000,12.100,7.350,7.500,9.600
Novo Itacolomi,-,-,-,3.700,3.700,4.000,1.800,1.400,3.100
Ortigueira,90,90,95,35.250,30.000,30.000,8.000,10.800,10.000
Ourizona,-,-,-,13.017,13.267,13.267,-,116,240
Ouro Verde do Oeste,-,-,-,12.700,12.665,12.850,1.130,1.000,1.200
Paiçandu,-,-,-,10.000,9.700,9.900,200,150,200
Palmas,-,-,-,31.500,34.000,34.000,1.500,1.500,1.000
Palmeira,10,10,5,51.119,53.500,58.000,7.725,8.200,14.500
Palmital,-,5,12,5.200,6.400,7.400,2.300,2.500,3.600
Palotina,-,-,-,45.770,41.280,45.770,1.500,4.500,1.500
Paraíso do Norte,-,-,-,4.000,4.000,4.100,-,-,250
Paranacity,-,-,-,2.000,2.811,3.100,-,-,-
Paranaguá,109,110,111,-,-,-,-,-,-
Paranapoema,-,-,-,2.430,2.144,943,-,-,-
Paranavaí,-,-,-,400,100,242,-,-,-
Pato Bragado,-,-,-,4.905,4.905,4.905,50,50,25
Pato Branco,1,1,-,28.200,26.300,27.850,8.200,9.200,8.500
Paula Freitas,25,25,20,17.700,17.900,18.600,1.250,2.450,1.500
Paulo Frontin,15,15,15,17.200,17.700,19.000,1.050,800,1.500
Peabiru,-,-,-,28.300,30.000,30.100,10.271,5.300,7.500
Perobal,-,-,-,15.885,16.000,15.650,24,340,850
Pérola,-,-,-,740,1.130,1.200,-,-,-
Pérola d'Oeste,1,1,1,11.730,12.250,13.250,4.000,5.000,6.000
Piên,2,2,-,4.490,4.560,4.300,200,500,400
Pinhais,-,-,-,-,-,130,-,-,20
Pinhal de São Bento,1,1,1,2.100,2.320,2.450,500,500,800
Pinhalão,20,25,25,3.900,3.800,4.500,2.400,2.400,1.850
Pinhão,55,21,15,38.600,38.200,38.750,8.100,8.900,8.500
Piraí do Sul,9,8,7,37.300,35.600,36.050,8.500,10.500,10.000
Piraquara,-,-,-,190,200,500,148,180,70
Pitanga,25,25,8,49.000,52.000,55.500,15.500,20.000,19.000
Pitangueiras,-,-,-,8.000,8.745,9.040,780,600,980
Planaltina do Paraná,1.714,1.714,1.230,500,750,750,-,-,72
Planalto,1,1,1,14.100,14.310,14.300,8.000,7.500,8.100
Ponta Grossa,5,5,5,69.743,70.100,65.000,12.360,15.000,16.500
Pontal do Paraná,70,80,90,-,-,-,-,-,-
Porecatu,-,-,-,3.500,3.600,4.100,-,-,-
Porto Amazonas,2,2,1,6.887,7.250,7.150,515,650,500
Porto Barreiro,4,4,5,9.400,9.400,10.200,4.500,4.500,6.700
Porto Rico,-,-,-,150,150,150,-,-,-
Porto Vitória,20,20,20,400,400,400,-,100,-
Prado Ferreira,-,-,-,8.445,8.435,8.320,48,-,-
Pranchita,1,1,1,13.350,13.850,14.050,7.000,7.000,8.000
Presidente Castelo Branco,-,-,-,1.975,2.405,2.405,-,-,-
Primeiro de Maio,-,-,-,23.400,23.100,22.950,-,-,-
Prudentópolis,145,145,70,37.600,37.200,39.400,8.640,9.300,8.800
Quarto Centenário,-,-,-,27.200,25.200,25.400,100,100,100
Quatiguá,30,20,20,390,580,580,-,-,-
Quatro Barras,-,-,-,-,-,95,-,-,5
Quatro Pontes,-,-,-,8.000,8.000,8.225,85,450,85
Quedas do Iguaçu,16,16,20,23.400,26.500,36.000,3.200,3.200,5.200
Querência do Norte,6.200,4.400,6.400,12.700,14.900,11.900,-,-,97
Quinta do Sol,-,-,-,22.400,22.000,22.800,250,300,500
Quitandinha,2,2,2,11.180,11.700,12.830,1.700,1.850,1.250
Ramilândia,-,-,-,3.535,4.460,4.810,1.250,1.250,1.700
